RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05
102001,United States,0,1279,1290,1291,1297,1310,1320,1330,1335,1336,1336,1336,1336,1341,1348,1356,1368,1377,1386,1391,1396,1397,1398,1399,1399,1404,1411,1420,1428,1437,1444,1446,1450,1449,1448,1448,1447,1451,1458,1465,1475,1484,1491,1497,1498,1498,1497,1496,1497,1501,1507,1516,1525,1534,1543,1549,1553,1553,1553,1554,1555,1559,1565,1574,1584,1595,1604,1609,1611,1611,1609,1608,1610,1615,1624,1630,1623,1619,1622,1624,1621,1618,1617,1620,1623,1627,1635,1652,1677,1708,1741,1777,1811,1835,1852,1870,1886,1892,1917,1933,1955,1979
394913,"New York, NY",1,2297,2326,2333,2339,2372,2391,2409,2417,2420,2418,2422,2414,2424,2438,2454,2484,2495,2508,2515,2524,2532,2533,2527,2524,2526,2534,2537,2554,2568,2581,2569,2579,2585,2579,2577,2569,2566,2570,2582,2597,2614,2621,2630,2627,2635,2624,2605,2606,2600,2601,2611,2625,2640,2654,2667,2673,2673,2665,2656,2654,2652,2661,2678,2688,2714,2733,2741,2742,2734,2728,2715,2701,2709,2729,2735,2720,2702,2684,2652,2594,2538,2499,2478,2469,2470,2476,2499,2536,2584,2636,2699,2746,2786,2815,2840,2872,2905,2958,3008,3061,3121
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1811,1840,1828,1836,1860,1879,1897,1913,1922,1927,1926,1930,1944,1952,1969,1983,1993,2006,2022,2034,2043,2051,2060,2065,2077,2094,2106,2113,2132,2146,2150,2162,2168,2174,2175,2181,2193,2205,2217,2232,2247,2254,2269,2275,2280,2282,2286,2285,2296,2305,2313,2325,2335,2349,2357,2369,2375,2380,2387,2392,2396,2401,2408,2420,2429,2439,2450,2457,2462,2462,2466,2474,2479,2484,2483,2458,2442,2439,2439,2431,2434,2441,2445,2441,2440,2449,2464,2486,2517,2559,2606,2662,2698,2725,2749,2772,2791,2825,2854,2891,2922
394463,"Chicago, IL",3,1475,1487,1489,1494,1510,1524,1533,1536,1530,1526,1524,1523,1526,1531,1520,1544,1558,1573,1581,1588,1582,1574,1565,1564,1573,1582,1592,1605,1617,1627,1633,1634,1625,1612,1604,1599,1599,1615,1628,1641,1654,1661,1664,1661,1653,1644,1637,1638,1641,1649,1661,1671,1683,1693,1695,1693,1686,1675,1672,1669,1677,1685,1698,1713,1725,1735,1741,1739,1735,1727,1717,1716,1724,1734,1744,1741,1741,1740,1735,1723,1705,1684,1671,1664,1664,1669,1689,1722,1753,1778,1798,1817,1822,1827,1832,1846,1860,1874,1898,1922,1945
394514,"Dallas-Fort Worth, TX",4,1100,1126,1131,1147,1142,1145,1150,1153,1156,1154,1150,1153,1157,1162,1175,1184,1194,1201,1206,1212,1208,1207,1206,1207,1212,1217,1231,1242,1252,1260,1266,1268,1269,1269,1271,1271,1274,1279,1289,1294,1306,1314,1318,1322,1321,1323,1320,1320,1324,1331,1335,1343,1346,1355,1360,1364,1361,1365,1368,1366,1369,1378,1382,1392,1401,1411,1415,1414,1416,1414,1411,1410,1413,1420,1426,1420,1417,1422,1425,1426,1429,1434,1437,1440,1444,1453,1467,1492,1522,1561,1602,1639,1663,1676,1694,1704,1713,1729,1738,1764,1791
394974,"Philadelphia, PA",5,1358,1324,1345,1348,1357,1369,1374,1379,1382,1376,1373,1360,1365,1368,1380,1391,1403,1410,1412,1412,1411,1407,1408,1406,1411,1417,1427,1436,1445,1450,1457,1450,1448,1445,1447,1446,1448,1453,1463,1470,1477,1479,1482,1482,1479,1480,1484,1484,1481,1487,1498,1508,1518,1522,1524,1526,1527,1528,1527,1530,1536,1542,1550,1558,1565,1576,1579,1579,1577,1580,1579,1579,1581,1594,1599,1593,1596,1598,1598,1601,1602,1601,1603,1609,1608,1609,1620,1638,1660,1681,1701,1732,1745,1761,1776,1798,1794,1805,1818,1831,1846
394692,"Houston, TX",6,1156,1184,1173,1181,1206,1219,1233,1241,1241,1245,1241,1239,1243,1247,1252,1264,1270,1278,1282,1284,1281,1277,1277,1276,1275,1280,1287,1287,1287,1290,1288,1284,1281,1279,1272,1268,1267,1270,1277,1280,1286,1289,1288,1289,1294,1304,1310,1315,1316,1320,1325,1331,1334,1338,1342,1339,1338,1338,1341,1336,1336,1337,1343,1349,1356,1362,1365,1363,1360,1360,1357,1361,1363,1365,1370,1362,1354,1352,1351,1351,1354,1359,1364,1364,1363,1360,1369,1385,1410,1442,1473,1495,1501,1514,1522,1532,1531,1541,1552,1564,1575
395209,"Washington, DC",7,1771,1812,1799,1799,1811,1825,1835,1840,1842,1830,1822,1811,1816,1824,1825,1839,1845,1854,1858,1856,1852,1855,1849,1851,1852,1859,1868,1876,1884,1894,1877,1887,1885,1881,1876,1874,1881,1887,1893,1909,1918,1924,1925,1927,1924,1914,1903,1902,1903,1910,1916,1932,1943,1956,1964,1968,1962,1957,1956,1955,1962,1971,1979,1992,2004,2014,2020,2022,2022,2015,2008,2005,2011,2018,2025,2017,2007,2006,2001,1990,1974,1958,1940,1931,1931,1933,1943,1967,2000,2039,2077,2114,2131,2147,2154,2160,2164,2175,2188,2212,2231
394856,"Miami-Fort Lauderdale, FL",8,1597,1601,1604,1604,1617,1625,1642,1648,1661,1667,1676,1680,1684,1697,1700,1703,1715,1727,1730,1744,1755,1765,1775,1780,1784,1791,1796,1793,1798,1798,1800,1805,1808,1809,1816,1814,1820,1823,1826,1826,1827,1832,1838,1845,1850,1859,1860,1862,1867,1868,1871,1873,1876,1884,1889,1897,1905,1912,1917,1920,1919,1921,1927,1929,1929,1932,1939,1943,1950,1959,1969,1978,1980,1986,1985,1976,1964,1961,1964,1969,1974,1987,2004,2020,2044,2065,2093,2136,2184,2244,2318,2392,2446,2500,2569,2641,2670,2725,2776,2819,2862
394347,"Atlanta, GA",9,1065,1076,1076,1084,1090,1097,1102,1106,1104,1105,1108,1110,1112,1118,1126,1135,1147,1158,1165,1166,1163,1164,1165,1167,1172,1180,1194,1203,1213,1224,1232,1235,1238,1242,1241,1240,1244,1250,1259,1268,1281,1291,1302,1307,1311,1309,1308,1310,1316,1323,1334,1343,1357,1365,1373,1379,1384,1388,1392,1395,1405,1409,1420,1430,1440,1450,1456,1460,1465,1462,1460,1462,1467,1475,1482,1477,1477,1484,1494,1507,1517,1528,1535,1547,1559,1576,1597,1627,1660,1706,1758,1816,1849,1873,1883,1882,1888,1901,1911,1918,1938
